Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø HF,Max. HF,Aerober TE,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Pace,Beste Pace,Positiver Höhenunterschied,Negativer Höhenunterschied,Ø Schrittlänge,Durchschnittliches vertikales Verhältnis,Ø vertikale Bewegung,Training Stress Score®,Grit,Flow,Kletterzeit,Grundzeit,Min. Temp.,Oberflächenpause,Dekompression,Beste Rundenzeit,Anzahl der Läufe,Max. Temp.
Laufen,2020-03-22 19:24:49,false,"Aalen Laufen","7.73","527","00:42:36","153","173","4.2","168","175","5:31","4:42","61","72","1.08","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","03:58.59","8","0.0"
Laufen,2020-03-20 19:26:39,false,"Aalen Laufen","14.02","1,005","01:19:06","157","171","5.0","168","175","5:39","5:08","51","64","1.05","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:04.96","15","0.0"
Laufen,2020-03-17 19:49:11,false,"Aalen Laufen","10.50","698","00:56:27","155","174","5.0","168","175","5:22","4:58","31","50","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","02:45.81","11","0.0"
Laufen,2020-03-15 20:33:22,false,"Aalen Laufen","6.01","397","00:33:07","153","168","3.8","168","175","5:30","5:12","24","42","1.08","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:04.11","7","0.0"
Laufen,2020-03-14 20:45:10,false,"Aalen Laufen","10.45","711","00:57:22","159","171","5.0","167","173","5:29","4:59","21","47","1.09","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","02:27.35","11","0.0"
Laufen,2020-03-12 20:26:45,false,"Aalen Laufen","12.01","841","01:08:59","157","176","5.0","167","173","5:45","4:51","40","52","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:02.52","13","0.0"
Laufen,2020-03-09 20:46:39,false,"Aalen Laufen","10.02","702","00:55:51","160","178","5.0","166","175","5:35","4:41","20","51","1.08","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:03.36","11","0.0"
Laufen,2020-03-07 20:24:06,false,"Aalen Laufen","8.01","539","00:46:04","153","175","4.4","166","175","5:45","5:08","55","77","1.05","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:02.22","9","0.0"
Laufen,2020-03-04 20:37:15,false,"Aalen Laufen","11.03","836","01:04:47","162","176","5.0","164","169","5:52","5:16","32","52","1.04","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","00:10.33","12","0.0"
Laufen,2020-03-01 16:52:55,false,"Aalen Laufen","6.85","486","00:41:55","149","169","4.0","164","171","6:07","5:15","55","57","1.00","0.0","0.0","0.0","0.0","0.0","0:00","0:00","0.0","0:00","Nein","05:08.14","7","0.0"
