Mazzanti Evantra Millecavallo;1001;1,4;1210;2,8;398
Porsche Carrera GT;612;2,4;590;3,9;330
Techart GTStreet R;660;2,3;860;3,5;345
Arden AJ 23;650;2,6;720;3,9;336
BMW Alpina B6 Bi-Turbo;540;3,9;730;4,4;371
Honda NSX;582;3,2;550;3,5;308
Ford GT;655;2,1;750;2,9;347
Italdesing Zerouno;830;2,4;560;3,2;330
Brabus 850 6.0 Biturbo;850;2,3;1150;3,1;375
Lamborghini Centenario Roadster;770;2;690;2,9;350
Koenigsegg One:1;1360;1;1371;2,8;440
Lamborghini Veneo Roadster;750;1,9;1000;2,8;395
Spada Codatronca Monza;720;1,7;950;3;335
GAD CLK 63 AMG black series;823;2,2;843;3,7;352
Fahlke Larea GT11 S12;1260;0,8;1600;2;436
Mercedes CLKGTR ;631;2,4;731;3,8;320
Tramontana car;888;1,4;1050;2,8;345
Porsche 918 Spyder;887;1,8;1280;2,8;345
RUF CTR 3 Clubsport;777;1,8;980;3,5;380
Wimmer RST 991 Turbo S;840;2;940;2,6;364
W Motors Lykan Hypersport;750;2;690;2,9;355
Vencer Sarthe;510;2,7;650;3,8;326
Arash AF10;2080;0,6;2280;2,2;440
Chevrolet Corvette Z06;660;2,4;881;3,6;315
M6 Cran Coupe by AC Schnitzer;680;2,8;790;4,1;329
Audi R8 Spyder V10 Plus;610;2,8;560;3,3;328
GTA Spano;925;1,4;1220;2,9;370
Maserati MC12 Corsa;755;1,5;652;3,6;350
Bugatti Chiron;1500;1,3;1600;2,4;420
Bugatti Veyron 16.4;1200;0,6;1500;2,6;410
9ff GT9-R;1120;1,2;1100;2,9;418
Vermot Veritas RS III;507;2,1;520;3,2;347
